dateTime,numCharacters,numWords,avgCharsPerWord,numTenCharOrMoreWords,numComputerKeywords,numExclaimationPoints
2019-01-07T19:55:00.000Z,3015,576,4.24,28,0,1
2019-01-07T21:04:00.000Z,1489,279,4.34,13,0,5
2019-01-09T19:04:00.000Z,310,62,4.02,2,0,2
2019-01-15T00:49:00.000Z,545,101,4.41,5,0,1
2019-01-15T03:44:00.000Z,472,85,4.56,6,0,0
2019-01-17T20:04:00.000Z,9290,1761,4.28,71,3,4
2020-01-31T20:04:00.000Z,10067,1945,4.18,74,0,7
2020-02-01T20:21:00.000Z,2006,369,4.44,24,0,0
2020-02-05T18:02:00.000Z,3412,637,4.36,36,0,3
2020-02-05T22:52:00.000Z,299,58,4.17,4,0,0
2020-02-10T19:58:00.000Z,916,170,4.39,5,0,1
2020-02-11T06:46:00.000Z,583,106,4.51,8,0,1
2020-02-11T20:34:00.000Z,1260,238,4.3,13,0,1
2020-02-17T02:10:00.000Z,873,167,4.23,6,0,2
2020-02-19T20:44:00.000Z,1143,226,4.06,6,0,1
2020-02-28T05:42:00.000Z,3436,637,4.4,37,0,1
2020-03-06T17:39:00.000Z,7327,1320,4.55,69,0,0
2020-03-09T17:36:00.000Z,4698,894,4.26,42,0,1
2020-03-11T05:12:00.000Z,1244,228,4.46,10,0,0
2020-03-11T16:27:00.000Z,1648,323,4.11,12,0,2
2020-03-11T21:56:00.000Z,3465,667,4.2,21,0,3
2020-03-13T02:28:00.000Z,2727,508,4.37,31,0,1
2020-03-13T18:18:00.000Z,3575,652,4.48,31,0,0
2020-03-13T20:50:00.000Z,158,30,4.3,1,0,0
2020-03-14T17:27:00.000Z,350,67,4.24,4,0,0
2020-03-18T05:07:00.000Z,347,66,4.27,5,0,0
2020-03-18T23:06:00.000Z,1522,294,4.18,7,0,0
2020-03-19T01:26:00.000Z,92,20,3.65,0,0,0
2020-03-22T18:01:00.000Z,1255,218,4.76,12,0,0
2020-03-26T03:20:00.000Z,286,55,4.22,0,0,0
2020-03-30T02:21:00.000Z,2298,441,4.21,22,0,0
2020-03-30T02:53:00.000Z,324,60,4.42,2,0,0
2020-03-31T16:44:00.000Z,222,43,4.19,1,0,0
2020-04-03T18:34:00.000Z,1921,356,4.4,22,1,0
2020-04-05T12:32:00.000Z,3638,677,4.38,33,0,9
2020-04-05T13:46:00.000Z,2723,512,4.32,29,0,0
2020-04-06T23:23:00.000Z,3428,627,4.47,30,0,0
2020-04-12T14:28:00.000Z,2035,380,4.36,11,3,0
2020-04-12T15:37:00.000Z,195,36,4.44,2,1,1
2020-04-13T17:16:00.000Z,1879,363,4.18,15,2,2
2020-04-15T20:11:00.000Z,1421,267,4.33,8,0,4
2020-04-18T21:41:00.000Z,12881,2348,4.49,121,1,4
2019-04-23T16:46:00.000Z,223,41,4.46,1,0,0
2019-04-25T02:55:00.000Z,703,138,4.1,4,0,0
2020-04-30T01:27:00.000Z,9427,1772,4.32,86,5,3
2020-04-30T12:24:00.000Z,1530,291,4.26,11,0,2
2020-04-30T16:21:00.000Z,4899,908,4.4,35,1,3
2020-04-30T20:40:00.000Z,1069,197,4.43,6,1,0
2020-05-01T14:12:00.000Z,12580,2336,4.39,102,0,7
2020-05-01T16:12:00.000Z,5168,944,4.48,39,0,8
2019-05-03T16:50:00.000Z,4911,954,4.15,51,0,2
2020-05-07T00:39:00.000Z,501,95,4.28,1,0,1
